LRRFIP1,THADA,RGS6,ZNF638,MMP23B,PLXNB1,RP3-377D14.1,USP34,THADA,CYorf15A,CHRNA6,THSD7B,THADA,MTIF2,FAM18B2,AC092299.1,AC069287.3,ARMC10,FAM123C,USP34,RP11-339I24.1,ZKSCAN4,LL22NC03-80A10.2,FAM123C,RPL21,SR140,MUC4,EHBP1,FOXO4,TRIM59,MUC4,MUC4,USP39,LRRFIP1,MMP23B,GRM8,TRIM59,outcome
3.417708,-5.783022,-3.208435,-4.253024,11.747987,3.262146,12.043913,-8.581332,-5.783022,13.159327,11.142937,-4.718669,-5.711027,-2.041708,11.646059,13.478337,12.56673,10.863542,11.606998,-8.972887,10.415286,11.767683,12.06969,11.606998,11.209605,10.479714,-10.242843,3.866714,11.21009,10.983615,-10.27015,-10.27015,4.186793,4.392073,11.747987,-0.896016,10.983615,1
2.964295,-5.41148,-2.870244,-4.054147,12.134091,3.334788,11.929147,-9.799815,-5.41148,13.268979,11.264855,1.161304,-5.327022,-1.882557,12.018093,13.96679,12.642005,10.948855,11.922803,-10.242253,10.298916,11.852544,12.715559,11.922803,10.869194,10.852549,2.520808,3.836861,11.397584,11.53526,-1.079552,-1.079552,3.573257,4.974773,12.134091,-4.323406,11.53526,1
4.295255,-3.160103,-2.363163,-1.966432,11.311528,2.957547,12.001471,-4.77761,-3.160103,13.881879,11.895611,-3.676827,0.036697,-1.408612,11.556486,13.996363,13.05997,10.853307,11.952837,4.298974,10.209123,12.241864,12.239029,11.952837,10.507078,10.724205,-8.327059,4.401404,11.51193,11.354431,-8.346675,-8.346675,4.025773,4.464994,11.311528,0.289582,11.354431,1
4.221886,-4.110894,0.832728,1.106573,11.446033,2.84025,12.256924,4.00755,-4.110894,13.480145,12.027333,4.465275,-4.052586,-1.247292,11.669087,14.286745,12.692643,11.035013,11.915506,-6.076564,10.34427,12.146514,12.921579,11.915506,11.138356,10.442501,-6.552048,3.996439,11.787929,11.204316,2.855514,2.855514,4.138668,4.506542,11.446033,0.972003,11.204316,1
4.083856,-4.57242,-0.431344,-2.680786,11.246887,1.520319,12.150527,-5.206187,-4.57242,12.950683,11.473065,-3.715304,-4.509871,-1.580788,11.655619,13.609974,12.547762,10.799722,11.651496,3.144927,10.316716,12.604413,12.397677,11.651496,10.741429,10.763464,2.337044,3.829021,11.341302,11.791977,2.376417,2.376417,4.007549,4.525509,11.246887,0.506879,11.791977,1
3.959133,-3.707614,1.729942,-1.679992,11.551494,1.795559,12.169826,3.448452,-3.707614,13.99041,11.885914,0.331875,-3.658977,-1.340667,11.896678,14.031584,13.045257,11.477605,12.54848,3.680335,10.087694,12.319915,12.201978,12.54848,10.976967,10.907143,-5.214754,4.333273,11.678069,11.582537,3.088543,3.088543,3.872818,4.64691,11.551494,1.859429,11.582537,1
4.211295,-3.290885,-2.575628,-0.530667,12.05595,3.587388,12.404337,-5.942611,-3.290885,13.763303,11.770447,-3.307695,3.161384,0.310187,11.745429,14.300497,12.904231,10.854775,12.034445,-1.340686,10.441661,12.406014,12.707523,12.034445,10.864822,10.579398,-4.390052,3.550744,11.411075,12.144368,4.268288,4.268288,4.109329,4.706489,12.05595,-2.766282,12.144368,1
3.446291,-3.664145,1.529023,-2.862925,11.407055,3.571116,11.824614,0.998782,-3.664145,13.631089,11.170482,3.129214,-3.602986,-1.161607,11.791157,13.761171,12.749318,10.968126,11.800425,-6.878815,10.295585,12.183272,12.845658,11.800425,11.142661,10.668447,2.663138,4.685424,11.412464,11.081393,-8.688155,-8.688155,4.212762,4.683043,11.407055,-0.446293,11.081393,1
5.222698,-3.621023,-2.629663,-2.002624,11.364012,3.734591,11.865007,-4.231707,-3.621023,12.908138,11.473266,-4.362481,2.70712,-0.804585,11.250202,13.930068,12.90701,11.184601,11.730825,4.080518,10.130911,12.586547,12.023613,11.730825,10.645355,10.384026,-9.712645,4.174954,11.499757,12.026514,-9.735484,-9.735484,4.404532,4.597256,11.364012,1.118679,12.026514,1
4.176852,-2.510032,2.011805,2.506324,11.366953,3.745953,11.974929,-3.98136,-2.510032,13.677306,11.952065,-3.778552,1.166507,2.644944,11.492356,13.842541,12.938582,11.484702,11.847801,3.220113,9.77111,12.273704,12.458623,11.847801,11.214698,10.584399,-6.719239,4.291931,11.389633,11.92006,-6.745193,-6.745193,4.201215,4.621742,11.366953,-2.649652,11.92006,1
3.551257,-2.880994,-0.940455,3.825689,11.438446,-2.146035,11.673832,4.595665,-2.880994,13.217787,11.561749,-4.187007,-2.842586,-1.090622,12.50575,14.596791,13.117541,11.262817,11.535631,5.259645,10.194653,12.75505,11.678281,11.535631,10.780619,10.763285,2.676141,4.284006,11.730688,11.599323,3.332022,3.332022,4.143878,4.477265,11.438446,-3.099097,11.599323,1
4.348057,-2.649288,1.915446,1.500498,11.756938,3.487319,12.134439,3.518162,-2.649288,13.68153,11.64999,-3.100172,-2.60934,-0.619022,11.817704,13.598977,12.807105,11.637509,12.322412,4.350981,9.815204,12.53235,12.461768,12.322412,10.651276,10.424846,-8.018729,4.335787,11.448044,11.8316,-8.033903,-8.033903,4.082685,4.336456,11.756938,-0.332707,11.8316,1
4.791545,-2.970771,-2.503877,2.548868,11.325058,3.039437,11.971375,-3.734825,-2.970771,13.772967,11.813496,2.845656,1.828294,-0.9407,11.502743,14.120286,13.299187,11.533019,11.925981,4.68619,9.964334,12.499109,12.211899,11.925981,10.835124,10.646332,4.199726,4.462362,11.192605,11.377544,-5.741164,-5.741164,4.168673,4.5102,11.325058,0.126735,11.377544,1
3.498851,-6.129199,-0.67781,-4.765731,11.528347,3.494543,12.032894,-9.394716,-6.129199,12.937869,11.800463,4.282662,-4.091081,-2.571458,11.767535,13.43286,12.064328,11.061966,11.868009,1.966941,10.592468,11.513277,11.759075,11.868009,11.084246,10.28025,-8.118631,3.579843,11.579703,11.488346,3.97974,3.97974,3.842416,4.980545,11.528347,1.525173,11.488346,1
3.927951,-3.407865,0.625626,1.291287,11.628059,2.339537,12.354105,4.051089,-3.407865,13.847768,11.865914,3.547001,3.24701,-0.829959,11.31907,13.453383,12.952884,11.293465,11.888791,4.55266,10.255081,12.565319,12.709746,11.888791,10.901857,10.55941,3.731118,4.1817,11.36107,11.562985,2.482538,2.482538,4.011294,4.642878,11.628059,-2.890412,11.562985,1
4.387066,-2.549789,-0.335785,2.341129,11.556823,2.443014,12.10838,4.307245,-2.549789,13.661096,11.567876,4.442345,-2.510189,-0.890929,11.596652,14.521385,12.822495,11.135561,11.836071,3.301537,10.020601,12.365185,12.30075,11.836071,10.994947,10.628328,-7.475838,4.234796,11.517695,11.800724,-7.496862,-7.496862,4.117304,4.596425,11.556823,-3.146748,11.800724,1
4.230561,-3.772424,1.211193,3.293333,11.288749,-3.25981,12.407453,3.976234,-3.772424,13.404092,11.77388,3.870262,-3.708675,-0.934375,11.820237,14.269428,12.698591,11.792219,11.818897,5.108105,9.911056,12.040043,12.521244,11.818897,10.816663,10.785894,0.441683,3.946085,11.648184,11.496728,5.14278,5.14278,4.099888,4.697084,11.288749,1.379122,11.496728,1
4.317449,-3.420387,-0.522518,2.743454,11.463132,1.803664,12.666062,-0.765126,-3.420387,13.626842,11.568352,-3.464521,-3.364231,-1.057165,11.665057,13.628763,12.591592,11.34404,12.163609,4.484494,10.048426,12.349741,12.935412,12.163609,10.590212,10.706592,-3.329633,3.929201,11.210975,11.581734,5.272234,5.272234,3.986936,4.68126,11.463132,-3.008029,11.581734,1
